ENSEMBL ID	Human_Muscle_Average_RPKM	Chimp_Muscle_Average_RPKM	Rhesus_Monkey_Muscle_Average_RPKM	Mouse_Muscle_Average_RPKM	Human_Kidney_Average_RPKM	Chimp_Kidney_Average_RPKM	Rhesus_Monkey_Kidney_Average_RPKM	Mouse_Kidney_Average_RPKM	Human_Cerebellar_Cortex_Average_RPKM	Chimp_Cerebellar_Cortex_Average_RPKM	Rhesus_Monkey_Cerebellar_Cortex_Average_RPKM	Mouse_Cerebellar_Cortex_Average_RPKM	Human_Prefrontal_Cortex_Average_RPKM	Chimp_Prefrontal_Cortex_Average_RPKM	Rhesus_Monkey_Prefrontal_Cortex_Average_RPKM	Mouse_Prefrontal_Cortex_Average_RPKM	Human_Primary_Visual_Cortex_Average_RPKM	Chimp_Primary_Visual_Cortex_Average_RPKM	Rhesus_Monkey_Primary_Visual_Cortex_Average_RPKM	Mouse_Primary_Visual_Cortex_Average_RPKM
ENSG00000000003	16.169215	12.71797333	7.054478333	5.542125	108.5929667	125.9869167	148.7701667	15.60888333	8.14158	15.71353333	12.22108667	39.7091	17.55188333	23.59925	16.04091833	37.14553333	11.45533833	14.63672667	10.35003667	42.6568
ENSG00000000005	11.69414167	2.735442667	8.691918833	39.22058333	0.854718333	3.374858333	0.3945145	0.547343333	0	0.516105167	1.827448333	3.53452	1.164758333	0.446145	5.056981667	3.474866667	0.1971	0.462506667	1.8529	2.103665
ENSG00000000419	67.2527	70.7889	52.85496667	97.29635	58.84921667	52.21431667	60.40195	103.0902	43.76011667	37.67805	47.36595	58.05943333	50.0192	50.22481667	35.37635	55.0849	46.2416	43.51778333	43.8782	58.1892
ENSG00000000457	16.10170833	35.3024	29.0568	18.16516667	18.82378833	40.18033333	26.39111667	50.4524	18.86883333	32.48431667	29.39905	44.83675	14.08295333	21.16411667	20.317155	43.55565	9.44797	20.66571667	27.13548333	49.46686667
ENSG00000000460	2.557516667	3.110027333	2.2562825	1.221271167	7.995243333	6.000725	2.838113333	5.218228333	11.60505167	10.763045	9.405788333	5.726875	4.797613333	5.573143333	4.848603333	3.91207	6.98716	5.320931667	6.174976667	4.30239
ENSG00000000938	23.30374333	11.26845	7.650713333	0.349385333	13.94562333	28.5114	8.162243333	6.899683333	6.297675	8.189413333	7.00035	1.036897833	15.05995	13.76798333	8.319111667	0.5908015	21.604885	23.27688667	10.242655	0.1608265
ENSG00000000971	70.30223333	20.16635	31.1154	56.53513333	63.11093333	89.48851667	179.8711667	366.1176667	10.96234333	16.76473667	99.4338	49.36276667	28.6811	11.256635	86.19745	54.12241667	34.79146667	11.68002667	117.76305	48.42985
ENSG00000001036	39.69001667	18.02711667	10.52535833	47.512	289.4642	224.4386667	194.9395	2074.175	39.84676667	44.54058333	45.5828	159.6276667	53.15685	54.513	23.83785	122.6425	56.89596667	41.77971667	31.30196667	160.8426667
ENSG00000001084	28.71628333	47.41968333	18.76478333	37.49796667	68.7701	182.5884333	77.59143333	817.5773333	37.50648333	61.15558333	41.46956667	126.5188333	71.84866667	103.7840333	64.09831667	125.6263333	74.93385	100.24975	67.34193333	135.8316667
ENSG00000001167	23.512385	40.3211	28.8268	13.445575	42.9874	79.01051667	59.86876667	53.63131667	41.63205	73.67865	44.07221667	33.80161667	40.76033333	66.12511667	40.00455167	30.52461667	45.52783333	57.89548333	36.04486667	28.02703333
