ENSEMBL ID	hV1	hV2	hV3	hV4	hV5	hV6	cV1	cV2	cV3	cV4	cV5	cV6	rV1	rV2	rV3	rV4	rV5	rV6	mV1	mV2	mV3	mV4	mV5	mV6
ENSG00000000003	7.432810000000001	15.2724	14.5855	10.031	11.9706	9.43972	17.0204	14.7096	22.6043	25.8803	1.80955	5.796209999999999	15.0063	2.60182	8.810789999999999	13.8887	8.15891	13.6337	47.7768	38.0145	31.8077	69.2859	30.3044	38.7515
ENSG00000000005	0.0	0.0	0.0	1.1826	0.0	0.0	0.0	0.0	0.0	0.0	1.0666799999999999	1.7083599999999999	0.0	1.5337100000000001	0.0	0.0	6.011830000000001	3.57186	0.0	3.05571	2.88458	0.0	5.25401	1.42769
ENSG00000000419	69.3729	48.2288	21.4944	54.6953	51.6625	31.9957	53.3007	39.2901	31.7974	42.5401	49.333999999999996	44.8444	42.0176	28.756999999999998	36.7889	53.2157	55.6094	46.8806	61.281000000000006	56.0214	41.4659	76.5792	45.9725	67.8152
ENSG00000000457	6.09128	12.2605	1.70757	7.750769999999999	15.616	13.2617	13.4503	24.5399	28.1476	18.1794	20.3375	19.3396	24.7714	35.6386	25.2719	30.2435	25.0737	21.8138	43.6867	49.9734	57.8178	52.2675	47.7824	45.2734
ENSG00000000460	6.973269999999999	7.0178899999999995	2.93222	6.0498	7.56338	11.3864	4.27717	5.91434	4.95742	6.8038	4.72922	5.24364	6.938689999999999	5.230630000000001	7.675610000000001	5.58429	4.920730000000001	6.699910000000001	3.9272099999999996	3.8349300000000004	4.93658	4.65974	5.03526	3.4206199999999995
ENSG00000000938	11.8455	17.3852	67.7965	12.7889	4.76931	15.0439	11.0195	13.9189	11.4622	79.317	15.8611	8.08262	12.5555	7.256310000000001	12.8714	5.533519999999999	10.5647	12.6745	0.0	0.0	0.0	0.0	0.0	0.964959
ENSG00000000971	17.572	18.6977	101.29	23.1216	17.9401	30.1274	7.2303	14.1274	10.9307	17.9434	10.4276	9.420760000000001	137.25	121.867	117.384	91.5262	139.842	98.7091	46.3869	54.5099	31.5265	67.2703	49.6344	41.2511
ENSG00000001036	42.7102	55.4262	70.5774	43.6849	52.7524	76.2247	49.2228	35.0329	33.5597	45.1557	50.8953	36.8119	37.4414	27.147	25.9803	20.1617	35.1619	41.9195	167.96900000000002	130.437	145.988	266.207	148.262	106.193
ENSG00000001084	76.1159	68.8392	60.5525	40.5338	87.5607	116.001	130.135	102.79700000000001	84.7433	97.52600000000001	95.6586	90.6386	60.6383	66.25	63.8093	83.79899999999999	71.6962	57.8588	119.009	113.34299999999999	132.72899999999998	162.999	149.49200000000002	137.418
ENSG00000001167	44.9272	52.3627	38.8946	29.9592	45.6022	61.4211	61.2735	58.8383	77.8136	40.3468	62.731	46.3697	40.8171	33.3033	28.1945	50.3697	30.4599	33.1247	32.0871	28.5685	20.8789	27.7144	26.6203	32.293
ENSG00000001460	41.3481	21.8467	5.40918	53.5695	73.2504	45.1606	33.1391	20.457	25.1492	24.3642	44.292	32.2438	0.8347870000000001	1.44737	6.535159999999999	1.5452299999999999	1.13468	3.37079	0.9843639999999999	2.8837	4.08331	4.28257	2.97495	0.0
ENSG00000001461	69.1707	121.823	59.5325	66.8187	123.126	205.285	97.9542	118.87700000000001	128.832	98.4834	111.675	83.7494	99.9602	91.7541	118.676	106.12100000000001	115.89	105.359	179.75599999999997	102.60600000000001	108.066	125.619	141.72	135.498
ENSG00000001497	81.8365	95.6728	83.06299999999999	93.686	104.205	103.21600000000001	81.1787	77.4871	76.0675	78.2281	95.8385	97.3764	117.08	143.726	104.535	131.298	133.585	139.757	111.85700000000001	139.734	118.439	107.413	109.64	82.7575
ENSG00000001561	112.71	108.83	42.6824	72.8521	119.421	195.12599999999998	113.766	110.06	125.463	100.098	104.704	86.7367	64.6732	58.1424	76.1788	72.0497	74.0697	53.1961	57.948	77.2888	67.4231	69.1761	67.6318	46.4282
ENSG00000001617	6.92127	19.8083	21.5043	12.1428	13.5353	9.66906	38.632	26.9664	20.5702	61.1749	29.0664	28.3358	14.6722	6.66259	10.2555	12.2862	11.3961	28.9172	40.7813	31.3758	27.9098	39.4274	26.1438	34.3931
ENSG00000001626	1.7105700000000001	1.20506	0.0	0.831061	1.88906	1.8248400000000002	0.293777	0.253891	1.7025	1.64936	0.49973199999999995	0.800354	0.82816	0.7179409999999999	0.40520500000000004	0.383242	0.8442559999999999	0.836008	0.733014	1.67018	1.01355	2.3917900000000003	3.19991	0.334431
ENSG00000001629	72.4195	76.3059	58.3223	64.4028	99.6812	136.843	77.6445	74.5588	91.66	57.5175	68.485	64.6347	54.0045	61.9832	60.5384	73.2139	59.6205	52.9807	71.0125	71.3835	64.7728	77.8858	75.4457	62.8918
ENSG00000001630	143.02	151.132	58.0654	115.009	185.856	180.38400000000001	146.529	163.235	154.61700000000002	200.514	146.959	96.9149	124.759	107.63799999999999	137.273	145.85399999999998	133.878	92.7992	145.11700000000002	111.439	120.78299999999999	144.045	101.48200000000001	120.525
ENSG00000001631	107.505	79.5843	53.3191	102.35600000000001	111.303	90.9214	99.4172	110.906	113.661	120.081	125.542	139.57	70.1221	81.2596	89.2749	66.2243	90.4504	83.4271	98.7176	105.04899999999999	109.666	85.8044	78.6237	81.9942
ENSG00000002016	20.6643	7.7987	0.0	11.9518	18.3379	8.997860000000001	5.05795	13.1137	7.32798	11.8321	10.7549	6.8898399999999995	10.7789	6.22954	3.51594	19.9522	2.4418599999999997	9.06751	35.5062	16.3162	20.2157	18.1734	27.3528	20.011
ENSG00000002330	378.88300000000004	324.246	282.73400000000004	298.152	257.828	272.445	339.099	217.815	199.171	235.833	265.029	349.556	67.8746	100.87100000000001	117.025	101.708	83.4719	114.196	125.771	111.65100000000001	110.66799999999999	128.505	115.184	146.064
ENSG00000002549	122.22200000000001	102.36	112.37100000000001	83.0492	122.115	160.86700000000002	195.22799999999998	190.28799999999998	136.107	285.693	134.211	109.973	100.946	97.8328	101.315	104.448	118.212	78.9091	103.162	81.0674	72.5884	137.434	65.1842	76.8665
ENSG00000002726	0.0	0.0	0.0	0.0	0.0	0.0	7.264810000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8782280000000001	0.0	0.5525909999999999
ENSG00000002745	2.49993	0.0	0.0	3.03641	2.58823	1.90495	2.14672	7.42105	4.1469	7.03055	4.56462	4.3863199999999996	8.327810000000001	14.4389	8.89017	14.0138	4.11621	1.5285	5.37249	5.2462599999999995	1.23811	0.973899	5.41226	1.22558
ENSG00000002746	56.2696	33.3428	30.9584	58.1252	128.13	48.0871	80.3819	104.59299999999999	104.463	120.006	111.961	115.646	140.625	173.683	162.078	171.865	144.386	125.399	66.013	91.4588	73.3342	54.8209	75.4064	76.7104
ENSG00000002822	40.1114	38.7964	46.4523	30.8821	36.3089	43.0917	40.6554	37.5757	28.9055	31.7018	34.0984	24.6133	28.6755	31.0739	24.5533	32.4377	35.1877	39.4005	36.7475	28.9833	22.1486	26.6456	39.8672	34.1763
ENSG00000002834	79.9758	105.64	96.3023	136.877	122.947	88.6427	112.37899999999999	129.496	152.263	109.537	127.443	93.5493	191.55599999999998	160.336	187.451	216.00900000000001	200.517	192.26	288.269	354.384	263.35900000000004	277.144	290.403	348.764
ENSG00000002919	38.4757	33.8817	27.455	38.2358	53.1132	38.6473	55.5666	36.3413	49.3185	43.5633	42.1518	40.9144	61.4375	55.0974	65.3035	76.4696	69.1108	68.4356	78.3619	95.9546	84.2744	54.1145	85.2072	90.2311
ENSG00000002933	18.3634	21.5611	84.0809	19.826	33.7993	48.9755	42.0504	31.7987	53.3075	90.991	15.6473	0.0	42.6355	9.64205	39.9077	24.0193	40.3146	26.198	66.2994	73.0953	82.802	204.701	51.7085	49.7637
ENSG00000003056	125.15299999999999	120.116	71.7447	113.865	179.55900000000003	127.51299999999999	181.12900000000002	198.28099999999998	164.45	242.93099999999998	245.463	182.581	194.38400000000001	186.91099999999997	207.662	218.403	213.45	190.229	304.626	292.57599999999996	249.403	334.597	321.014	250.99200000000002
ENSG00000003096	11.8737	9.87505	11.6499	18.1607	24.1309	14.0743	14.7276	9.79085	15.3192	19.0813	18.3077	20.0617	21.5748	25.6306	26.586	31.8009	27.6963	28.2324	110.417	66.8134	80.9056	153.45600000000002	80.8116	57.4815
ENSG00000003137	26.7214	24.4359	4.03351	27.4626	20.5717	28.1933	7.06032	35.8478	23.8677	49.5487	23.2694	26.4479	14.3171	9.71347	28.6296	11.5225	20.3066	41.4732	33.0309	17.9193	7.10462	42.3129	27.3597	16.0747
ENSG00000003147	166.495	104.725	79.7339	171.731	158.696	116.29700000000001	127.65299999999999	153.715	123.296	102.725	154.89700000000002	141.428	111.98	112.132	76.7648	115.28	79.7674	103.37	84.4297	115.009	156.965	126.556	145.093	138.86700000000002
ENSG00000003249	268.032	177.71599999999998	68.0655	222.141	180.64700000000002	141.767	135.39	98.2867	122.92299999999999	63.3435	112.85	92.2125	148.22299999999998	224.044	159.922	154.77200000000002	188.55700000000002	157.30100000000002	102.561	60.9615	55.4921	80.0252	69.6287	85.4471
