	Human_Muscle_Average_RPKM	Chimp_Muscle_Average_RPKM	Rhesus_Monkey_Muscle_Average_RPKM	Human_Kidney_Average_RPKM	Chimp_Kidney_Average_RPKM	Rhesus_Monkey_Kidney_Average_RPKM	Human_Cerebellar_Cortex_Average_RPKM	Chimp_Cerebellar_Cortex_Average_RPKM	Rhesus_Monkey_Cerebellar_Cortex_Average_RPKM	Human_Prefrontal_Cortex_Average_RPKM	Chimp_Prefrontal_Cortex_Average_RPKM	Rhesus_Monkey_Prefrontal_Cortex_Average_RPKM	Human_Primary_Visual_Cortex_Average_RPKM	Chimp_Primary_Visual_Cortex_Average_RPKM	Rhesus_Monkey_Primary_Visual_Cortex_Average_RPKM
TSPAN6	16.169215	12.717973333333333	7.054478333333333	108.59296666666665	125.98691666666667	148.7701666666667	8.14158	15.713533333333332	12.221086666666666	17.551883333333333	23.59925	16.04091833333333	11.455338333333332	14.636726666666666	10.350036666666666
TNMD	11.694141666666667	2.7354426666666662	8.691918833333332	0.8547183333333335	3.3748583333333335	0.39451450000000005	0.0	0.5161051666666667	1.8274483333333331	1.1647583333333333	0.446145	5.056981666666666	0.19710000000000003	0.4625066666666666	1.8529000000000007
DPM1	67.2527	70.7889	52.85496666666668	58.84921666666667	52.21431666666666	60.40195	43.76011666666667	37.678050000000006	47.36595	50.019200000000005	50.22481666666666	35.376349999999995	46.2416	43.517783333333334	43.8782
SCYL3	16.101708333333335	35.3024	29.0568	18.823788333333333	40.18033333333333	26.391116666666665	18.868833333333335	32.48431666666667	29.399050000000003	14.082953333333334	21.164116666666665	20.317155000000003	9.44797	20.665716666666665	27.135483333333337
C1orf112	2.5575166666666664	3.110027333333333	2.2562824999999997	7.995243333333332	6.000725	2.838113333333333	11.605051666666666	10.763045	9.405788333333332	4.7976133333333335	5.573143333333333	4.848603333333333	6.98716	5.320931666666667	6.174976666666669
FGR	23.303743333333333	11.26845	7.650713333333333	13.94562333333333	28.5114	8.162243333333334	6.297675000000001	8.189413333333333	7.00035	15.05995	13.767983333333333	8.319111666666666	21.604885	23.276886666666666	10.242655000000001
CFH	70.30223333333333	20.166349999999998	31.115399999999998	63.11093333333333	89.48851666666667	179.87116666666665	10.962343333333335	16.764736666666664	99.4338	28.681099999999997	11.256634999999998	86.19745	34.79146666666667	11.680026666666668	117.76305000000002
FUCA2	39.690016666666665	18.027116666666668	10.525358333333331	289.4642	224.43866666666668	194.93949999999998	39.84676666666667	44.54058333333334	45.5828	53.15685	54.513	23.83785	56.89596666666666	41.779716666666666	31.30196666666667
GCLC	28.716283333333333	47.41968333333333	18.76478333333333	68.7701	182.5884333333333	77.59143333333334	37.506483333333335	61.15558333333333	41.46956666666667	71.84866666666666	103.78403333333334	64.09831666666666	74.93385	100.24975	67.34193333333332
NFYA	23.512385000000005	40.3211	28.826799999999995	42.9874	79.01051666666666	59.86876666666666	41.63205	73.67864999999999	44.07221666666666	40.760333333333335	66.12511666666667	40.00455166666667	45.52783333333334	57.89548333333334	36.04486666666667
STPG1	3.7120933333333332	0.458413	0.5872716666666666	14.36988	20.82786666666667	7.121041666666668	42.90376666666666	13.000206666666669	1.6417765	55.23758333333333	29.542333333333335	1.5281133333333334	40.09741333333333	29.940883333333332	2.478002833333333
NIPAL3	6.225533333333332	9.934131666666667	3.116246666666667	36.491234999999996	46.9082	64.4022	168.16566666666665	172.06483333333333	248.5635	121.25353333333332	131.5878333333333	84.141305	107.62598333333334	106.59516666666667	106.29338333333334
LAS1L	36.213633333333334	28.945050000000005	32.0037	81.52335000000001	55.76701666666667	60.22553333333334	130.93433333333334	117.13366666666667	135.77633333333333	81.27996666666667	73.79978333333332	99.67093333333332	93.61321666666667	84.36271666666666	128.33016666666666
